PharmGKB Accession Id	Name	Generic Names	Trade Names	Brand Mixtures	Type	Cross-references	SMILES	Dosing Guideline	External Vocabulary
PA134653756	diflomotecan				Drug/Small Molecule			No	
PA134687812	benzydamine				Drug/Small Molecule			No	NDFRT:N0000167053(Benzydamine [Chemical/Ingredient]),RxNorm:1425(Benzydamine),UMLS:C0005099(Benzydamine)
PA134687887	selective beta-2-adrenoreceptor agonists				Drug Class			No	ATC:R03AA(Alpha- and beta-adrenoreceptor agonists),ATC:R03AB(Non-selective beta-adrenoreceptor agonists),ATC:R03AC(Selective beta-2-adrenoreceptor agonists),ATC:R03CC(Selective beta-2-adrenoreceptor agonists)
PA134687907	formoterol	Formoterol fumarate,Formoterolum [INN-Latin],formoterol	Foradil,Foradile,Oxeze Turbuhaler,Oxeze Turbuhaler Foradil,Oxis		Drug/Small Molecule	DailyMed:7b9da867-04ad-4ace-a889-9f4ff8bec47b,TTD:DAP000247,chemSpider:3292,clinicalTrials:NCT00706446,dpd:2237225,drugBank:DB00983,keggCompound:C07805,ndc:0085-1402-01,pubChemCompound:3410,pubChemSubstance:10007,pubChemSubstance:46507099,url:http://en.wikipedia.org/wiki/Formoterol		No	ATC:R03AC(Selective beta-2-adrenoreceptor agonists),MeSH:C012629(formoterol),NDFRT:N0000148706(FORMOTEROL),RxNorm:25255(formoterol),UMLS:C0060657(formoterol)
PA134687923	GW2016				Drug/Small Molecule			No	
PA134687924	erlotinib	OSI-774	Tarceva		Drug/Small Molecule	HET:AQ4,TTD:DAP001010,bindingDb:5446,chebi:114785,chemSpider:154044,clinicalTrials:NCT00063895,clinicalTrials:NCT00611468,clinicalTrials:NCT00619424,clinicalTrials:NCT00884845,clinicalTrials:NCT01013831,clinicalTrials:NCT01192815,clinicalTrials:NCT01193881,clinicalTrials:NCT01557959,clinicalTrials:NCT01994057,dpd:2269023,drugBank:DB00530,pdb:AQ4,pubChemCompound:176870,pubChemSubstance:46508021,pubChemSubstance:7885946,url:http://en.wikipedia.org/wiki/Erlotinib	COCCOc1cc2c(cc1OCCOC)ncnc2Nc3cccc(c3)C#C	No	ATC:L01XE(Protein kinase inhibitors),MeSH:C400278(erlotinib),NDFRT:N0000148872(ERLOTINIB),RxNorm:337525(erlotinib),UMLS:C1135135(erlotinib)
PA134687925	canertinib				Drug/Small Molecule			No	
PA134687926	EKB-569				Drug/Small Molecule			No	
PA134687937	mianserin	Mianserina [inn-spanish],Mianserine,Mianserine [inn-french],Mianserinum [inn-latin],Mianseryna [polish]	Bolvidon,Norval,Tolvan		Drug/Small Molecule	TTD:DAP000293,chebi:51137,chemSpider:4040,clinicalTrials:NCT01039740,drugBank:DB06148,iupharLigand:135,pubChemCompound:4184,pubChemSubstance:14848151,pubChemSubstance:46508096,url:http://en.wikipedia.org/wiki/Mianserin	CN1CCN2c3ccccc3Cc4ccccc4C2C1	No	NDFRT:N0000176152(MIANSERIN),RxNorm:6929(Mianserin),UMLS:C0025912(Mianserin)
PA134687941	desmethylcitalopram				Drug/Small Molecule			No	
PA134687942	levomepromazine				Drug/Small Molecule			No	NDFRT:N0000007377(Methotrimeprazine [Chemical/Ingredient]),UMLS:C0025678(Methotrimeprazine)
PA134687947	eletriptan	eletriptan	Relpax		Drug/Small Molecule	DailyMed:85745375-fcb6-4edc-b6db-a77b4a5f3e8c,TTD:DAP000008,chebi:50922,chemSpider:70379,dpd:2256304,drugBank:DB00216,iupharLigand:118,iupharLigand:40,keggDrug:D01973,ndc:0049-2340-05,pubChemCompound:77993,pubChemSubstance:46506380,pubChemSubstance:655051,url:http://en.wikipedia.org/wiki/Eletriptan	CN1CCC[C@@H]1Cc2c[nH]c3c2cc(cc3)CCS(=O)(=O)c4ccccc4	No	ATC:N02CC(Selective serotonin (5HT1) agonists),MeSH:C115647(eletriptan),NDFRT:N0000148791(ELETRIPTAN),RxNorm:231049(eletriptan),UMLS:C0759933(eletriptan)
PA134688071	atomoxetine	Tomoxetina [Spanish],Tomoxetine,Tomoxetine [INN],Tomoxetinum [Latin]	Strattera		Drug/Small Molecule	DailyMed:309de576-c318-404a-bc15-660c2b1876fb,TTD:DAP000721,bindingDb:50133749,chebi:127342,chemSpider:49516,clinicalTrials:NCT00548327,clinicalTrials:NCT00916786,dpd:2262800,drugBank:DB00289,keggDrug:D02574,ndc:0002-3227-30,pubChemCompound:54841,pubChemSubstance:214424,pubChemSubstance:46506160,url:http://en.wikipedia.org/wiki/Atomoxetine	Cc1ccccc1O[C@H](CCNC)c2ccccc2	Yes	ATC:N06BA(Centrally acting sympathomimetics),MeSH:C041930(atomoxetine),NDFRT:N0000022300(ATOMOXETINE),RxNorm:38400(atomoxetine),UMLS:C0076823(atomoxetine)
PA134698661	pranlukast	ONO-RS 411			Drug/Small Molecule	TTD:DAP000977,chemSpider:102999,drugBank:DB01411,pubChemCompound:115100,pubChemSubstance:46508129,pubChemSubstance:692058,url:http://en.wikipedia.org/wiki/Pranlukast	c1ccc(cc1)CCCCOc2ccc(cc2)C(=O)Nc3cccc4c3oc(cc4=O)c5[nH]nnn5	No	ATC:R03DC(Leukotriene receptor antagonists),MeSH:C047681(pranlukast)
PA134711056	domperidone		Domperidon,Lopac-D-122,Motilium,Nauzelin		Drug/Small Molecule	TTD:DAP001368,bindingDb:50241107,chebi:31515,chemSpider:3039,dpd:2238444,drugBank:DB01184,keggDrug:D01745,pubChemCompound:3151,pubChemSubstance:183089,pubChemSubstance:46508314,url:http://en.wikipedia.org/wiki/Domperidone	c1ccc2c(c1)[nH]c(=O)n2CCCN3CCC(CC3)n4c5ccc(cc5[nH]c4=O)Cl	No	ATC:A03FA(Propulsives),NDFRT:N0000171760(DOMPERIDONE),RxNorm:3626(Domperidone),UMLS:C0013015(Domperidone)
PA134711723	aminohippurate	Aminohippurate Sodium,Aminohippuric acid,Aminohippuric acid Sodium salt,PAH,Sodium p-aminohippurate,Sodium para-Aminohippurate,para-Aminohippurate			Drug/Small Molecule	DailyMed:a1975215-25f1-4c5a-878d-bcbf5326bb92,chemSpider:2063,clinicalTrials:NCT01156220,dpd:140287,drugBank:DB00345,keggDrug:D01421,ndc:0006-3395-11,pubChemCompound:2148,pubChemSubstance:46507106,url:http://en.wikipedia.org/wiki/Para-Aminohippurate	c1ccc(c(c1)C(=O)NCC(=O)[O-])N	No	NDFRT:N0000022606(AMINOHIPPURATE),UMLS:C0717403(AMINOHIPPURATE)
PA134711724	ochratoxin A				Drug/Small Molecule			No	
PA134852920	benzbromarone				Drug/Small Molecule			No	NDFRT:N0000166974(Benzbromarone [Chemical/Ingredient]),RxNorm:1385(Benzbromarone),UMLS:C0005035(Benzbromarone)
PA134967247	2-methoxyestradiol				Drug/Small Molecule			No	
PA135057240	bupivacaine	(+-)-Bupivacaine,Bloqueina,Bupivacaina [INN-Spanish],Bupivacaine HCL,Bupivacaine HCL KIT,Bupivacainum [INN-Latin],DL-Bupivacaine,DUR-843,LAC-43,bupivacaine,cBupivacaine	Anekain,Bupivan,Carbostesin,Chirocaine,DepoBupivacaine,Marcaina,Marcaine,Marcaine HCL,Marcaine Spinal,Sensorcaine,Sensorcaine-MPF,Sensorcaine-MPF Spinal,Transdur-Bupivacaine	"Marcaine E (Bupivacaine Hydrochloride + Epinephrine Bitartrate)","Sensorcaine Forte (Bupivacaine Hydrochloride + Epinephrine Bitartrate)",	Drug/Small Molecule	DailyMed:9679cc05-2f8a-4e88-53b5-6e9122c8b8c0,DailyMed:c8ead236-357f-4a7e-9d86-03fe500c6187,TTD:DAP001229,chebi:3215,chemSpider:2380,dpd:2165414,drugBank:DB00297,iupharLigand:2397,keggCompound:C07529,ndc:0409-1761-02,pubChemCompound:2474,pubChemSubstance:46506768,pubChemSubstance:9732,url:http://en.wikipedia.org/wiki/Bupivacaine	CCCCN1CCCCC1C(=O)Nc2c(cccc2C)C	No	ATC:N01BB(Amides),MeSH:C476513(levobupivacaine),NDFRT:N0000147736(BUPIVACAINE),RxNorm:1815(Bupivacaine),UMLS:C0006400(Bupivacaine)
PA136437519	Lorenzo's oil				Drug/Small Molecule			No	
PA137179528	nimesulide				Drug/Small Molecule	chebi:44445,chemSpider:4339,drugBank:DB04743,pdb:NIM,pubChemCompound:4495,pubChemSubstance:46507721,pubChemSubstance:7889413	CS(=O)(=O)Nc1ccc(cc1Oc2ccccc2)N(=O)=O	No	MeSH:C012655(nimesulide),RxNorm:53694(nimesulide),UMLS:C0132515(nimesulide)
PA137867605	O6-(4-Bromothenyl)guanine	PaTrin-2,lomeguatrib			Drug/Small Molecule			No	
PA140222717	n-acetyl serotonin				Drug/Small Molecule	bindingDb:29612,drugBank:DB04275,pdb:ASE,pubChemCompound:903,pubChemSubstance:46507511,pubChemSubstance:7885978		No	MeSH:C006389(N-acetylserotonin)
PA140222718	hydroxytryptamine				Drug/Small Molecule		c1ccc2c(c1)c(cn2O)CCN	No	
PA140222719	tetrabenazine	Tetra benazin,Tetrabenazina [inn-spanish],Tetrabenazinum [inn-latin],Tetrabenzaine,Tetrabenzine	Nitoman,Regulin,Rubigen,Xenazine		Drug/Small Molecule	DailyMed:ac768bab-8afa-4446-bc7f-caeeffec0cda,TTD:DAP000756,bindingDb:50017701,chemSpider:5796,dpd:2199270,drugBank:DB04844,keggCompound:C11168,ndc:67386-421-01,pubChemCompound:6018,pubChemSubstance:13350,pubChemSubstance:46506426,url:http://en.wikipedia.org/wiki/Tetrabenazine	CC(C)CC1CN2CCc3cc(c(cc3C2CC1=O)OC)OC	No	ATC:N07XX(Other nervous system drugs),NDFRT:N0000177920(TETRABENAZINE),RxNorm:10390(Tetrabenazine),UMLS:C0039623(Tetrabenazine)
PA140222720	MPP+	1-methyl-4-phenylpyridinium (MPP+)			Drug/Small Molecule			No	
PA140222783	glycyl-sarcosine				Drug/Small Molecule		CN(CC(=O)O)C(=O)CN	No	
PA140222784	kyotorphin				Drug/Small Molecule			No	
PA142320763	allopregnanolone				Drug/Small Molecule			No	
PA142650384	pitavastatin		Livalo		Drug/Small Molecule			No	ATC:C10AA(HMG CoA reductase inhibitors),NDFRT:N0000180308(PITAVASTATIN),RxNorm:861634(pitavastatin),UMLS:C1101838(pitavastatin)
PA142899133	hexoprenaline				Drug/Small Molecule			No	NDFRT:N0000166518(Hexoprenaline [Chemical/Ingredient]),RxNorm:5307(Hexoprenaline),UMLS:C0019476(Hexoprenaline)
PA143414738	atrasentan				Drug/Small Molecule			No	NDFRT:N0000171768(ATRASENTAN),UMLS:C0935914(ATRASENTAN)
PA143485261	artemisinin and derivatives				Drug Class			No	ATC:P01BE(Artemisinin and derivatives)
PA143485705	antiepileptics	Antiepileptics			Drug Class			No	ATC:N03(Antiepileptics),ATC:N03A(Antiepileptics)
PA143487910	aliskiren	Rasilez,SPP 100,aliskiren	Tekturna		Drug/Small Molecule	DailyMed:833c7a0b-5f64-4363-94d5-9a179049113a,TTD:DAP001219,bindingDb:17950,chebi:601027,chemSpider:4591452,drugBank:DB01258,keggDrug:D03208,ndc:0078-0486-15,pubChemCompound:5493444,pubChemSubstance:17397362,pubChemSubstance:46507474,url:http://en.wikipedia.org/wiki/Aliskiren		No	ATC:C09XA(Renin-inhibitors),MeSH:C446481(aliskiren),NDFRT:N0000176084(ALISKIREN),RxNorm:325646(aliskiren),UMLS:C1120110(aliskiren)
PA144614921	reboxetine	Reboxetine mesylate,reboxetine	Davedax,Edronax,Norebox,Prolift,Solvex,Vestra		Drug/Small Molecule	TTD:DAP000720,bindingDb:35226,chemSpider:59268,drugBank:DB00234,pubChemCompound:65856,pubChemSubstance:207897,pubChemSubstance:46504845,url:http://en.wikipedia.org/wiki/Reboxetine	CCOc1ccccc1O[C@@H](c2ccccc2)[C@@H]3CNCCO3	No	ATC:N06AX(Other antidepressants),MeSH:C074679(reboxetine),NDFRT:N0000171791(REBOXETINE),RxNorm:60842(reboxetine),UMLS:C0168388(reboxetine)
PA144614922	opipramol				Drug/Small Molecule		c1ccc2c(c1)C=Cc3ccccc3N2CCCN4CCN(CC4)CCO	No	NDFRT:N0000167254(Opipramol [Chemical/Ingredient]),RxNorm:7674(Opipramol),UMLS:C0029105(Opipramol)
PA144997862	retigabine				Drug/Small Molecule		CCOC(=O)Nc1ccc(cc1N)NCc2ccc(cc2)F	No	
PA145007158	torcetrapib				Drug/Small Molecule			No	
PA146096020	nitrendipine	Nitrendipin,Nitrendipino [INN-Spanish],Nitrendipinum [INN-Latin]	Bayotensin,Baypress,Bylotensin,Deiten,Nidrel,Nitrepin		Drug/Small Molecule	TTD:DAP001263,bindingDb:50012016,chemSpider:4351,drugBank:DB01054,iupharLigand:2334,keggCompound:C07713,keggDrug:D00629,pubChemCompound:4507,pubChemSubstance:179531,pubChemSubstance:46508817,url:http://en.wikipedia.org/wiki/Nitrendipine	CCOC(=O)C1=C(NC(=C(C1c2cccc(c2)N(=O)=O)C(=O)OC)C)C	No	ATC:C08CA(Dihydropyridine derivatives),NDFRT:N0000167238(Nitrendipine [Chemical/Ingredient]),RxNorm:7441(Nitrendipine),UMLS:C0028127(Nitrendipine)
PA146096021	bisantrene				Drug/Small Molecule			No	
PA146096022	forskolin				Drug/Small Molecule	chebi:42471,chemSpider:43607,drugBank:DB02587,pdb:FOK,pubChemCompound:47936,pubChemSubstance:11120323,pubChemSubstance:46509044,url:http://en.wikipedia.org/wiki/Forskolin		No	NDFRT:N0000166358(Forskolin [Chemical/Ingredient]),UMLS:C0016601(Forskolin [Chemical/Ingredient])
PA146123005	talinolol				Drug/Small Molecule	clinicalTrials:NCT01788254		No	RxNorm:37546(talinolol),UMLS:C0075783(talinolol)
PA147358765	alpha-methyl-para-tyrosine				Drug/Small Molecule			No	NDFRT:N0000005770(alpha-Methyltyrosine [Chemical/Ingredient]),UMLS:C0051427(alpha-Methyltyrosine [Chemical/Ingredient])
PA150047156	non-nucleoside reverse transcriptase inhibitors				Drug Class			No	ATC:J05AG(Non-nucleoside reverse transcriptase inhibitors),NDFRT:N0000009948(Non-Nucleoside Reverse Transcriptase Inhibitors [MoA]),UMLS:C1373120(Non-Nucleoside Reverse Transcriptase Inhibitors [MoA])
PA150481186	topoisomerase I inhibitors				Drug Class	clinicalTrials:NCT01876446		No	ATC:L01X.01(topoisomerase i inhibitors)
PA150481187	folic acid analogues				Drug Class			No	ATC:L01BA(Folic acid analogues)
PA150481188	vinca alkaloids and analogues				Drug Class			No	ATC:L01CA(Vinca alkaloids and analogues)
PA150481189	taxanes				Drug Class			No	ATC:L01CD(Taxanes)
PA150595617	platinum				Drug/Small Molecule		[Pt]	No	NDFRT:N0000166244(Platinum [Chemical/Ingredient]),UMLS:C0032207(Platinum [Chemical/Ingredient])
PA151070295	thyroxine				Drug/Small Molecule		c1c(cc(c(c1I)Oc2cc(c(c(c2)I)O)I)I)CC(C(=O)O)N	No	NDFRT:N0000020132(LEVOTHYROXINE),RxNorm:10582(Thyroxine),UMLS:C0040165(Thyroxine)
PA151186253	nemonapride				Drug/Small Molecule			No	
PA151249535	diuretics				Drug Class	clinicalTrials:NCT00408512		No	ATC:C03(Diuretics),NDFRT:N0000029125([CV700] DIURETICS),UMLS:C0012798([CV700] DIURETICS)
PA151917011	valinomycin				Drug/Small Molecule			No	NDFRT:N0000170352(Valinomycin [Chemical/Ingredient]),UMLS:C0042287(Valinomycin [Chemical/Ingredient])
PA151917012	dactinomycin	AD,Antibiotic From Streptomyces Parvullus,Dactinomicina [INN-Spanish],Dactinomycine [INN-French],Dactinomycinum [INN-Latin],actd	ACT,ACT D,ACTINOMYCIN D,ACTO-D,Actactinomycin a Iv,Actinomycin 11 Cosmegen,Actinomycin 7,Actinomycin Aiv,Actinomycin C1,Actinomycin I,Actinomycin I1,Actinomycin Iv,Actinomycin X 1,Actinomycindioic D Acid, Dilactone,Chounghwamycin B,Cosmegen,Dactinomycin D,Dilactone Actinomycin D Acid,Dilactone Actinomycindioic D Acid,HBF 386 Meractinomycin,Lyovac Cosmegen,Meractinomycin,Oncostatin K,Oxamide		Drug/Small Molecule	TTD:DNC000380,bindingDb:50023797,chebi:27666,clinicalTrials:NCT00674193,dpd:213071,drugBank:DB00970,keggCompound:C06770,keggDrug:D00214,pubChemCompound:2019,pubChemSubstance:8990,url:http://en.wikipedia.org/wiki/Dactinomycin		No	ATC:L01DA(Actinomycines),NDFRT:N0000146314(DACTINOMYCIN),RxNorm:3100(Dactinomycin),UMLS:C0010934(Dactinomycin)
PA151929741	trichostatin A				Drug/Small Molecule			No	
PA151958300	otamixaban				Drug/Small Molecule			No	
PA151958355	grapefruit juice				Drug/Small Molecule			No	NDFRT:N0000164879(GRAPEFRUIT JUICE [VA Product]),UMLS:C0452456(GRAPEFRUIT JUICE [VA Product])
PA151958360	naringin				Drug/Small Molecule			No	RxNorm:31538(naringin),UMLS:C0068451(naringin)
PA151958361	naringenin				Drug/Small Molecule	bindingDb:23419,chebi:17846,chemSpider:388383,drugBank:DB03467,keggCompound:C00509,pdb:NAR,pubChemCompound:439246,pubChemSubstance:3792,pubChemSubstance:46508043	c1cc(ccc1C2CC(=O)c3c(cc(cc3O2)O)O)O	No	MeSH:C005273(naringenin)
PA151958362	6,7-dihydroxybergamottin				Drug/Small Molecule			No	
PA151958365	methyl-CCNU				Drug/Small Molecule			No	NDFRT:N0000166754(Semustine [Chemical/Ingredient]),UMLS:C0036637(Semustine [Chemical/Ingredient])
PA151958400	neuropsychiatric medications				Drug Class			No	ATC:X.02(neuropsychiatric medications)
PA151958426	nebivolol	nebivololum [latin]	Bystolic,Lobivon,Nebicard-5,Nebilet,Nebilong,Nebipill,Nodon,Nubeta,PI-21858		Drug/Small Molecule	DailyMed:673f5ad2-c09b-4a89-9407-efdadd007917,TTD:DAP000942,chemSpider:64421,clinicalTrials:NCT00683124,drugBank:DB04861,keggDrug:D05127,ndc:54868-5944-0,pubChemCompound:71301,pubChemSubstance:99443225		No	NDFRT:N0000176131(NEBIVOLOL),RxNorm:31555(nebivolol),UMLS:C0068475(nebivolol)
PA151958574	posaconazole	posaconazole	Noxafil		Drug/Small Molecule	DailyMed:b073b082-7b57-4423-8c06-4fd4263d6f84,TTD:DAP001101,chemSpider:130409,drugBank:DB01263,keggDrug:D02555,ndc:0085-1328-01,pubChemCompound:147912,pubChemSubstance:17396726,pubChemSubstance:46508639,url:http://en.wikipedia.org/wiki/Posaconazole		No	ATC:J02AC(Triazole derivatives),MeSH:C101425(posaconazole),NDFRT:N0000176062(POSACONAZOLE),RxNorm:282446(posaconazole),UMLS:C0936148(posaconazole)
PA151958596	curcumin				Drug/Small Molecule			No	NDFRT:N0000166597(Curcumin [Chemical/Ingredient]),RxNorm:2955(Curcumin),UMLS:C0010467(Curcumin)
PA151958637	4-methylthioamphetamine				Drug/Small Molecule		CC(Cc1ccc(cc1)SC)N	No	
PA152031327	geldanamycin				Drug/Small Molecule	bindingDb:50227098,chemSpider:3342,drugBank:DB02424,keggCompound:C11222,pdb:GDM,pubChemCompound:46936377,pubChemCompound:5281885,pubChemSubstance:13401,pubChemSubstance:46505674,url:http://en.wikipedia.org/wiki/Geldanamycin		No	
PA152132897	Tilarginine Acetate				Drug/Small Molecule			No	
PA152207466	farnesyltransferase inhibitors				Drug Class			No	ATC:V03A.01(farnesyltransferase inhibitors)
PA152241907	lapatinib	FMM,GW 572016,GW572016,Lapatinib ditosylate,Lapatinib tosilate hydrate,lapatinib	Tycerb,Tykerb		Drug/Small Molecule	DailyMed:63319b01-cad6-4d0a-c39b-938fa951a808,HET:FMM,TTD:DCL000344,bindingDb:5445,chebi:49603,chemSpider:181006,clinicalTrials:NCT00073008,clinicalTrials:NCT00374322,clinicalTrials:NCT01281163,drugBank:DB01259,keggDrug:D04024,ndc:0173-0752-00,pdb:FMM,pubChemCompound:208908,pubChemSubstance:14911387,pubChemSubstance:46507141,url:http://en.wikipedia.org/wiki/Lapatinib	CS(=O)(=O)CCNCc1ccc(o1)c2ccc3c(c2)c(ncn3)Nc4ccc(c(c4)Cl)OCc5cccc(c5)F	No	MeSH:C490728(lapatinib),NDFRT:N0000176088(LAPATINIB),RxNorm:480167(lapatinib),UMLS:C1506770(lapatinib)
PA152241908	PHA-665752				Drug/Small Molecule			No	
PA152241909	PP2				Drug/Small Molecule			No	
PA152407999	rimonabant	SR 141716,SR 141716A,SR141716,SR141716A,rimonabant	Acomplia,Rimoslim,Riobant,Slimona,Zimulti		Drug/Small Molecule	TTD:DNC001371,bindingDb:21278,chemSpider:94641,drugBank:DB06155,iupharLigand:743,iupharLigand:745,keggCompound:C14319,keggDrug:D05731,pubChemCompound:104850,pubChemSubstance:47207392,pubChemSubstance:99443236,url:http://en.wikipedia.org/wiki/Rimonabant		No	MeSH:C089032(rimonabant)
PA152408000	SR144528				Drug/Small Molecule			No	
PA152432579	xanomeline				Drug/Small Molecule		CCCCCCOc1c(nsn1)C2=CCCN(C2)C	No	
PA152432599	itopride				Drug/Small Molecule		CN(C)CCOc1ccc(cc1)CNC(=O)c2ccc(c(c2)OC)OC	No	
PA152530737	dilazep				Drug/Small Molecule			No	NDFRT:N0000167247(Dilazep [Chemical/Ingredient]),UMLS:C0012367(Dilazep [Chemical/Ingredient])
PA152530738	tubercidin	7-Deazadenosine,7-deazaadenosine,Antibiotic 155B2T,Antibiotic XK 101-1,Sparsomycin A,TBC,TBN,Toyocamycin,Tubercidine			Drug/Small Molecule	chebi:48267,drugBank:DB03172,pdb:TBN,pubChemCompound:46936593,pubChemCompound:6245,pubChemSubstance:46505938,pubChemSubstance:7890700		No	NDFRT:N0000170636(Tubercidin [Chemical/Ingredient]),UMLS:C0041286(Tubercidin [Chemical/Ingredient])
PA152530740	8-cyclopentyl-1,3-dipropylxanthine	8-cyclopentyl-1			Drug/Small Molecule			No	
PA153561371	egfr inhibitors				Drug Class			No	ATC:L01XC.01(EGFR inhibitors),NDFRT:N0000020010(HER1 Antagonists [MoA]),UMLS:C2916831(HER1 Antagonists [MoA])
PA153590860	camptothecin	(+)-camptothecin,(+)-camptothecine,(s)-(+)-camptothecin,(s)-camptothecin,20(S)-Camptothecin,21,22-Secocamptothecin-21-oic acid lactone,CPT,Camptothecine,D-camptothecin			Drug/Small Molecule	chebi:27656,chemSpider:22775,clinicalTrials:NCT00026195,clinicalTrials:NCT00074321,clinicalTrials:NCT00433550,clinicalTrials:NCT00467142,clinicalTrials:NCT00559676,clinicalTrials:NCT00559741,clinicalTrials:NCT00654160,clinicalTrials:NCT00731276,clinicalTrials:NCT00936832,clinicalTrials:NCT01205711,drugBank:DB04690,keggCompound:C01897,pdb:EHD,pubChemCompound:24360,pubChemSubstance:46507644,pubChemSubstance:7887296,url:http://en.wikipedia.org/wiki/Camptothecin		No	NDFRT:N0000007999(Camptothecin [Chemical/Ingredient]),UMLS:C0006812(Camptothecin [Chemical/Ingredient])
PA153619853	dronedarone				Drug/Small Molecule			No	NDFRT:N0000179804(DRONEDARONE),RxNorm:233698(dronedarone),UMLS:C0766326(dronedarone)
PA153627678	idraparinux				Drug/Small Molecule			No	
PA153906323	rolipram	rolipram			Drug/Small Molecule	chemSpider:394978,drugBank:DB03606,pdb:4SR,pubChemCompound:448055,pubChemSubstance:46507984,pubChemSubstance:7885374	COc1ccc(cc1OC2CCCC2)C3CC(=O)NC3	No	NDFRT:N0000167152(Rolipram [Chemical/Ingredient]),UMLS:C0073561(Rolipram [Chemical/Ingredient])
PA154081778	4-methylumbelliferone				Drug/Small Molecule		Cc1cc(=O)oc2c1ccc(c2)O	No	
PA154081779	naphthol				Drug/Small Molecule			No	
PA154410481	prasugrel	cs-747	Effient,Efient,Prasita		Drug/Small Molecule	chemSpider:5293653,clinicalTrials:NCT01184300,clinicalTrials:NCT01452139,clinicalTrials:NCT01452152,drugBank:DB06209,keggDrug:D05597,pubChemCompound:6918456,pubChemSubstance:99443238		No	ATC:B01AC(Platelet aggregation inhibitors excl. heparin),NDFRT:N0000179815(PRASUGREL),RxNorm:613391(prasugrel),UMLS:C1620287(prasugrel)
PA161199368	iloperidone				Drug/Small Molecule	clinicalTrials:NCT00254202	CC(=O)c1ccc(c(c1)OC)OCCCN2CCC(CC2)c3c4ccc(cc4on3)F	No	NDFRT:N0000178412(ILOPERIDONE),RxNorm:73178(iloperidone),UMLS:C0247194(iloperidone)
PA161660841	ebselen				Drug/Small Molecule			No	
PA161660849	LY686017				Drug/Small Molecule			No	
PA161748474	ximelagatran	H 376/95,ximelagatran	Exanta,Exarta		Drug/Small Molecule	TTD:DAP001218,chemSpider:7848559,drugBank:DB04898,pubChemCompound:9574101,pubChemSubstance:12015148,pubChemSubstance:46509040,url:http://en.wikipedia.org/wiki/Ximelagatran		No	MeSH:C426686(ximelagatran),NDFRT:N0000171810(XIMELAGATRAN),UMLS:C0966370(XIMELAGATRAN)
PA161925594	tropisetron				Drug/Small Molecule			No	RxNorm:27392(tropisetron),UMLS:C0063322(tropisetron)
PA161990676	tetrahydrobiopterin	5,6,7,8 Tetrahydrobiopterin,BH4,sapropterin	Dapropterin,Kuvan,Phenoptin,Sapropterin		Drug/Small Molecule	DailyMed:af38711e-8873-4790-a92d-4d583e23fb89,HET:THB,TTD:DNC000425,chebi:15372,chemSpider:1093,drugBank:DB00360,keggCompound:C00272,ndc:68135-300-01,pdb:THB,pubChemCompound:1125,pubChemSubstance:3570,pubChemSubstance:46508597,url:http://en.wikipedia.org/wiki/Tetrahydrobiopterin		No	MeSH:C003402(5,6,7,8-tetrahydrobiopterin)
PA162168179	SJG-136				Drug/Small Molecule			No	
PA162356187	muraglitazar				Drug/Small Molecule			No	
PA162360980	meglitinides				Drug Class			No	ATC:A10BX.01(meglitinides)
PA162363968	lenalidomide	CC-5013,CDC 501,IMiD3,lenalidomide	Revimid,Revlimid		Drug/Small Molecule	DailyMed:5fa97bf5-28a2-48f1-8955-f56012d296be,TTD:DAP001255,bindingDb:50078323,chemSpider:187515,clinicalTrials:NCT00907452,clinicalTrials:NCT01782963,drugBank:DB00480,keggDrug:D04687,ndc:59572-410-00,pubChemCompound:216326,pubChemSubstance:46505725,pubChemSubstance:789509,url:http://en.wikipedia.org/wiki/Lenalidomide		No	ATC:L04AX(Other immunosuppressants),MeSH:C467567(lenalidomide),NDFRT:N0000171749(LENALIDOMIDE),RxNorm:342369(lenalidomide),UMLS:C1144149(lenalidomide)
PA162364313	bezafibrate	Bezafibrat,Bezafibrato [inn-spanish],Bezafibratum [inn-latin]	Befizal,Bezalip,Bezalip retard,Bezatol,Bezatol SR,Cedur	"Hepaconda (bezafibrate + chenodeoxycholic acid)",	Drug/Small Molecule	HET:PEM,TTD:DAP001182,bindingDb:28701,chebi:31284,chebi:47612,chemSpider:35728,dpd:2083523,drugBank:DB01393,keggDrug:D01366,pdb:PEM,pubChemCompound:39042,pubChemSubstance:10321679,pubChemSubstance:46509188,url:http://en.wikipedia.org/wiki/Bezafibrate	CC(C)(C(=O)O)Oc1ccc(cc1)CCNC(=O)c2ccc(cc2)Cl	No	ATC:C10AB(Fibrates),NDFRT:N0000166742(Bezafibrate [Chemical/Ingredient]),RxNorm:1525(Bezafibrate),UMLS:C0005330(Bezafibrate)
PA162370429	CBLB502				Drug/Small Molecule			No	
